Line,Suspiciousness
org/apache/commons/lang/StringUtils.java#4266,0
org/apache/commons/lang/StringUtils.java#4941,0
org/apache/commons/lang/StringUtils.java#4267,0
org/apache/commons/lang/StringUtils.java#1429,0
org/apache/commons/lang/StringUtils.java#4944,0
org/apache/commons/lang/StringUtils.java#4331,0
org/apache/commons/lang/StringUtils.java#4946,0
org/apache/commons/lang/StringUtils.java#4439,0
org/apache/commons/lang/StringUtils.java#4438,0
org/apache/commons/lang/StringUtils.java#1586,0
org/apache/commons/lang/StringUtils.java#4535,0
org/apache/commons/lang/StringUtils.java#4536,0
org/apache/commons/lang/StringUtils.java#1585,0
org/apache/commons/lang/StringUtils.java#4538,0
org/apache/commons/lang/StringUtils.java#4539,0
org/apache/commons/lang/StringUtils.java#1588,0
org/apache/commons/lang/StringUtils.java#1589,0
org/apache/commons/lang/StringUtils.java#3840,0
org/apache/commons/lang/StringUtils.java#4437,0
org/apache/commons/lang/StringUtils.java#4436,0
org/apache/commons/lang/time/DurationFormatUtils.java#345,0.5
org/apache/commons/lang/StringUtils.java#4544,0
org/apache/commons/lang/StringUtils.java#3209,0
org/apache/commons/lang/time/DurationFormatUtils.java#496,0
org/apache/commons/lang/StringUtils.java#4541,0
org/apache/commons/lang/StringUtils.java#4540,0
org/apache/commons/lang/time/DurationFormatUtils.java#343,0.33333333333333337
org/apache/commons/lang/StringUtils.java#3203,0
org/apache/commons/lang/time/DurationFormatUtils.java#491,0
org/apache/commons/lang/time/DurationFormatUtils.java#220,0
org/apache/commons/lang/StringUtils.java#3207,0
org/apache/commons/lang/StringUtils.java#385,0
org/apache/commons/lang/StringUtils.java#3204,0
org/apache/commons/lang/StringUtils.java#3633,0
org/apache/commons/lang/StringUtils.java#2729,0
org/apache/commons/lang/time/DurationFormatUtils.java#575,0.09999999999999998
org/apache/commons/lang/StringUtils.java#3636,0
org/apache/commons/lang/StringUtils.java#3637,0
org/apache/commons/lang/StringUtils.java#3634,0
org/apache/commons/lang/time/DurationFormatUtils.java#469,0.09090909090909094
org/apache/commons/lang/time/DurationFormatUtils.java#396,0.19999999999999996
org/apache/commons/lang/StringUtils.java#2720,0
org/apache/commons/lang/StringUtils.java#2726,0
org/apache/commons/lang/StringUtils.java#2725,0
org/apache/commons/lang/StringUtils.java#2724,0
org/apache/commons/lang/StringUtils.java#4942,0
org/apache/commons/lang/StringUtils.java#4794,0
org/apache/commons/lang/StringUtils.java#253,0
org/apache/commons/lang/StringUtils.java#4797,0
org/apache/commons/lang/StringUtils.java#4791,0
org/apache/commons/lang/StringUtils.java#4792,0
org/apache/commons/lang/StringUtils.java#4216,0
org/apache/commons/lang/StringUtils.java#4947,0
org/apache/commons/lang/StringUtils.java#4783,0
org/apache/commons/lang/StringUtils.java#848,0
org/apache/commons/lang/StringUtils.java#847,0
org/apache/commons/lang/StringUtils.java#4220,0
org/apache/commons/lang/StringUtils.java#4607,0
org/apache/commons/lang/time/DurationFormatUtils.java#474,0.09090909090909094
org/apache/commons/lang/time/DurationFormatUtils.java#393,0
org/apache/commons/lang/time/DurationFormatUtils.java#95,0
org/apache/commons/lang/time/DurationFormatUtils.java#322,0.33333333333333337
org/apache/commons/lang/StringUtils.java#3791,0
org/apache/commons/lang/time/DurationFormatUtils.java#110,0
org/apache/commons/lang/StringUtils.java#3443,0
org/apache/commons/lang/StringUtils.java#4782,0
org/apache/commons/lang/StringUtils.java#3444,0
org/apache/commons/lang/StringUtils.java#3447,0
org/apache/commons/lang/StringUtils.java#3446,0
org/apache/commons/lang/StringUtils.java#3448,0
org/apache/commons/lang/time/DurationFormatUtils.java#470,0
org/apache/commons/lang/time/DurationFormatUtils.java#348,0.5
org/apache/commons/lang/StringUtils.java#4970,0
org/apache/commons/lang/time/DurationFormatUtils.java#610,0
org/apache/commons/lang/StringUtils.java#705,0
org/apache/commons/lang/time/DurationFormatUtils.java#316,1.0
org/apache/commons/lang/time/DurationFormatUtils.java#80,0
org/apache/commons/lang/StringUtils.java#3319,0
org/apache/commons/lang/StringUtils.java#4973,0
org/apache/commons/lang/StringUtils.java#2334,0
org/apache/commons/lang/StringUtils.java#2991,0
org/apache/commons/lang/time/DurationFormatUtils.java#330,0.5
org/apache/commons/lang/StringUtils.java#4433,0
org/apache/commons/lang/StringUtils.java#702,0
org/apache/commons/lang/StringUtils.java#703,0
org/apache/commons/lang/time/DurationFormatUtils.java#353,0.5
org/apache/commons/lang/StringUtils.java#4434,0
org/apache/commons/lang/StringUtils.java#4780,0
org/apache/commons/lang/time/DurationFormatUtils.java#280,0.33333333333333337
org/apache/commons/lang/StringUtils.java#4828,0
org/apache/commons/lang/StringUtils.java#3986,0
org/apache/commons/lang/StringUtils.java#3987,0
org/apache/commons/lang/StringUtils.java#4365,0
org/apache/commons/lang/StringUtils.java#3989,0
