Statement,Suspiciousness
org.mockito.exceptions.verification.ArgumentsAreDifferent#16,0
org.mockito.internal.invocation.ArgumentsComparator#16,0.0018580813873526054
org.mockito.internal.verification.VerificationModeFactory#16,0.0
org.mockito.exceptions.verification.junit.JUnitTool#16,0.006354107097191862
org.mockito.internal.matchers.Equality#16,0.0
org.mockito.internal.util.MockName#16,0.001410090843234494
org.mockito.exceptions.verification.WantedButNotInvoked#16,0.0
org.mockito.internal.exceptions.base.ConditionalStackTraceFilter#16,0.0020466380474080045
org.mockito.internal.util.reflection.LenientCopyTool#17,0.005446377511878739
org.mockito.exceptions.base.MockitoAssertionError#17,0.0
org.mockito.exceptions.base.MockitoException#17,0.0
org.mockito.internal.verification.MockAwareVerificationMode#17,0.002179440754024756
org.mockito.internal.creation.DelegatingMethod#17,0.0016421446066846531
org.mockito.internal.exceptions.base.StackTraceFilter#17,0.0014695969730302617
org.mockito.internal.matchers.MatchersPrinter#17,0.003033033711362213
org.mockito.internal.invocation.ArgumentsComparator#17,0.0018580813873526054
org.mockito.internal.util.reflection.AccessibilityChanger#17,0.0019255852357756861
org.mockito.internal.debugging.Location#17,0.0014817563128035824
org.mockito.internal.invocation.realmethod.CGLIBProxyRealMethod#17,0.0016575931557891812
org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs#17,0.0014024376478161907
org.mockito.internal.reporting.PrintSettings#17,0.005882760066687646
org.mockito.exceptions.verification.NoInteractionsWanted#17,0.0
org.mockito.exceptions.verification.junit.JUnitTool#17,0
org.mockito.internal.util.MockName#17,0.001410090843234494
org.mockito.internal.invocation.InvocationsFinder#18,0.0027025842574856314
org.mockito.internal.util.ListUtil#18,0.0021723531230467834
org.mockito.exceptions.base.MockitoException#18,0.0
org.mockito.internal.verification.MockAwareVerificationMode#18,0.002179440754024756
org.mockito.exceptions.misusing.MockitoConfigurationException#18,0
org.mockito.internal.verification.RegisteredInvocations#18,0.001412993263135476
org.mockito.internal.stubbing.defaultanswers.ReturnsMocks#18,0.0013977172115098382
org.mockito.internal.creation.DelegatingMethod#18,0.0016421446066846531
org.mockito.internal.exceptions.base.StackTraceFilter#18,0.0014695969730302617
org.mockito.internal.debugging.Location#18,0.0014817563128035824
org.mockito.internal.creation.DelegatingMockitoMethodProxy#18,0.0016816058959476911
org.mockito.internal.invocation.realmethod.CGLIBProxyRealMethod#18,0.0016575931557891812
org.mockito.internal.reporting.SmartPrinter#18,0.005882760066687646
org.mockito.internal.invocation.realmethod.FilteredCGLIBProxyRealMethod#18,0.0016575931557891812
org.mockito.internal.reporting.PrintSettings#18,0.005882760066687646
org.mockito.exceptions.verification.NoInteractionsWanted#18,0.0
org.mockito.internal.progress.MockingProgressImpl#18,0.001233684462485034
org.mockito.internal.progress.ThreadSafeMockingProgress#18,0.001233684462485034
org.mockito.exceptions.verification.junit.JUnitTool#18,0
org.mockito.internal.matchers.Equality#18,0.002588069376427701
org.mockito.internal.util.MockName#18,0.001732938299234144
org.mockito.internal.stubbing.OngoingStubbingImpl#18,0.0017015860729131273
org.mockito.internal.util.ObjectMethodsGuru#18,0.001732938299234144
org.mockito.exceptions.misusing.InvalidUseOfMatchersException#18,0.0
org.mockito.internal.configuration.ClassPathLoader#18,0.001233684462485034
org.mockito.internal.util.MockCreationValidator#18,0.0014120237993759692
org.mockito.internal.matchers.Equals#18,0.0018714650997283548
org.mockito.internal.debugging.Localized#19,0.0022349061283153536
org.mockito.exceptions.base.MockitoAssertionError#19,0.0
org.mockito.internal.util.ListUtil#19,0.002086087628335129
org.mockito.exceptions.base.MockitoException#19,0.0
org.mockito.exceptions.misusing.MockitoConfigurationException#19,0
